Name,lat,long,geometry,Year,Cl,Conductivity,Na
Penhorn,44.67535825,-63.5406571,"44.67535825,-63.5406572",1991,171,614,108
Penhorn,44.67535825,-63.5406571,"44.67535825,-63.5406573",2000,139,,85.4
Penhorn,44.67535825,-63.5406571,"44.67535825,-63.5406574",2011,159.1,N/A,93.8
Powder Mill,44.77483799,-63.61132368,"44.77483799,-63.61132368",1980,33,83.5,14
Powder Mill,44.77483799,-63.61132368,"44.77483799,-63.61132369",1991,28.7,149,17.8
Powder Mill,44.77483799,-63.61132368,"44.77483799,-63.61132370",2000,43.3,214,26.5
Powder Mill,44.77483799,-63.61132368,"44.77483799,-63.61132371",2011,47.8,N/A,27.3
Power Pond,44.57662231,-63.55491891,"44.57662231,-63.55491891",1980,N/A,N/A,N/A
Power Pond,44.57662231,-63.55491891,"44.57662231,-63.55491892",1991,N/A,N/A,N/A
Power Pond,44.57662231,-63.55491891,"44.57662231,-63.55491893",2000,39.7,172,25.6
Power Pond,44.57662231,-63.55491891,"44.57662231,-63.55491894",2011,49.8,N/A,28.3
Rocky,44.76337,-63.621148,"44.763370, -63.621148",1980,14,111.9,19.4
Rocky,44.76337,-63.621148,"44.763370, -63.621149",1991,40.9,205.5,26
Rocky,44.76337,-63.621148,"44.763370, -63.621150",2000,64,307.5,38.3
Rocky,44.76337,-63.621148,"44.763370, -63.621151",2011,75.3,N/A,43.45
Russell,44.66328354,-63.52379317,"44.66328354,-63.52379317",1980,80,247.5,47
Russell,44.66328354,-63.52379317,"44.66328354,-63.52379318",1991,112.63,431.7,70
Russell,44.66328354,-63.52379317,"44.66328354,-63.52379319",2000,137,529,80.5
Russell,44.66328354,-63.52379317,"44.66328354,-63.52379320",2011,233.6,N/A,138.6
Sandy,44.7338812,-63.7004452,"44.73388119784783, -63.70044520279103",1980,13.7,58.9,8.4
Sandy,44.7338812,-63.7004452,"44.73388119784783, -63.70044520279103",1991,24.95,113.7,15.3
Sandy,44.7338812,-63.7004452,"44.73388119784783, -63.70044520279103",2000,30.1,133.5,18.1
Sandy,44.7338812,-63.7004452,"44.73388119784783, -63.70044520279103",2011,53.6,N/A,31.2
Second,44.78102411,-63.6495188,"44.781024108599595, -63.64951879663469",1980,70,43.1,5.7
Second,44.78102411,-63.6495188,"44.781024108599595, -63.64951879663469",1991,15.5,76.1,9
Second,44.78102411,-63.6495188,"44.781024108599595, -63.64951879663469",2000,33,147.5,19.6
Second,44.78102411,-63.6495188,"44.781024108599595, -63.64951879663469",2011,36.35,N/A,21.5
Second Chain,44.63634282,-63.65350944,"44.63634281565802, -63.653509436460325",1980,66,231,38
Second Chain,44.63634282,-63.65350944,"44.63634281565802, -63.653509436460325",1991,115,478,70.5
Second Chain,44.63634282,-63.65350944,"44.63634281565802, -63.653509436460325",2000,91.7,372,53.5
Second Chain,44.63634282,-63.65350944,"44.63634281565802, -63.653509436460325",2011,118.8,N/A,67.9
Settle,44.67912225,-63.50504722,"44.67912225,-63.50504722",1980,27,200,33
Settle,44.67912225,-63.50504722,"44.67912225,-63.50504723",1991,136,514,82.7
Settle,44.67912225,-63.50504722,"44.67912225,-63.50504724",2000,120,496,75.5
Settle,44.67912225,-63.50504722,"44.67912225,-63.50504725",2011,137.5,N/A,83.2
Soldier,44.8153812,-63.57011686,"44.8153812,-63.57011686",1980,7.7,45,4.6
Soldier,44.8153812,-63.57011686,"44.8153812,-63.57011687",1991,16.67,86.4,10.1
Soldier,44.8153812,-63.57011686,"44.8153812,-63.57011688",2000,19.3,94.5,11.1
Soldier,44.8153812,-63.57011686,"44.8153812,-63.57011689",2011,21.2,N/A,13.26666667
Spider,44.75504323,-63.53769779,"44.75504323,-63.53769779",1980,5.1,26.6,2.5
Spider,44.75504323,-63.53769779,"44.75504323,-63.53769780",1991,3.4,30.1,2.2
Spider,44.75504323,-63.53769779,"44.75504323,-63.53769781",2000,4.7,35,3
Spider,44.75504323,-63.53769779,"44.75504323,-63.53769782",2011,6,N/A,3.4
Spruce Hill,44.57933819,-63.65411348,"44.57933819,-63.65411348",1980,3.9,29.3,3.2
Spruce Hill,44.57933819,-63.65411348,"44.57933819,-63.65411349",1991,5,33.7,2.9
Spruce Hill,44.57933819,-63.65411348,"44.57933819,-63.65411350",2000,6,36.8,3.5
Spruce Hill,44.57933819,-63.65411348,"44.57933819,-63.65411351",2011,7.2,N/A,4.2
Susie,44.65937194,-63.69384241,"44.65937194126351, -63.69384240575841",1980,7.9,27.1,3
Susie,44.65937194,-63.69384241,"44.65937194126351, -63.69384240575841",1991,10.45,56.3,6.4
Susie,44.65937194,-63.69384241,"44.65937194126351, -63.69384240575841",2000,32.3,133,18.6
Susie,44.65937194,-63.69384241,"44.65937194126351, -63.69384240575841",2011,69.95,N/A,39.3
Third,44.79271388,-63.63490078,"44.79271388,-63.63490078",1980,11.3,49.4,7
Third,44.79271388,-63.63490078,"44.79271388,-63.63490079",1991,15.95,84.9,9.5
Third,44.79271388,-63.63490078,"44.79271388,-63.63490080",2000,28.5,136.7,17
Third,44.79271388,-63.63490078,"44.79271388,-63.63490081",2011,28.1,N/A,16.2
Thomas,44.80052877,-63.60875186,"44.80052877156693, -63.608751860387606",1980,20,77.2,12.8
Thomas,44.80052877,-63.60875186,"44.80052877156693, -63.608751860387606",1991,28.05,133.9,17.1
Thomas,44.80052877,-63.60875186,"44.80052877156693, -63.608751860387606",2000,35.3,168.3,22.3
Thomas,44.80052877,-63.60875186,"44.80052877156693, -63.608751860387606",2011,36.25,N/A,21.25
Topsail,44.69410702,-63.51606929,"44.69410702,-63.51606929",1980,5,36.9,3.7
Topsail,44.69410702,-63.51606929,"44.69410702,-63.51606930",1991,5.5,39.7,3.4
Topsail,44.69410702,-63.51606929,"44.69410702,-63.51606931",2000,11.3,65.3,6.6
Topsail,44.69410702,-63.51606929,"44.69410702,-63.51606932",2011,18.2,N/A,10.9
Whimsical,44.62537153,-63.6097097,"44.625371528686365, -63.6097096967063",1980,108,376,63
Whimsical,44.62537153,-63.6097097,"44.625371528686365, -63.6097096967063",1991,197,763,114
Whimsical,44.62537153,-63.6097097,"44.625371528686365, -63.6097096967063",2000,160,643,95.2
Whimsical,44.62537153,-63.6097097,"44.625371528686365, -63.6097096967063",2011,263.8,N/A,159.4
William,44.76731843,-63.58607177,"44.76731843,-63.58607177",1980,18.4,71.8,11
William,44.76731843,-63.58607177,"44.76731843,-63.58607178",1991,26.73,132,16.5
William,44.76731843,-63.58607177,"44.76731843,-63.58607179",2000,37,171.7,23.2
William,44.76731843,-63.58607177,"44.76731843,-63.58607180",2011,38.76666667,N/A,23.1
Williams,44.61962763,-63.59599135,"44.61962763,-63.59599135",1980,46,136,26
Williams,44.61962763,-63.59599135,"44.61962763,-63.59599136",1991,41.2,176,28.3
Williams,44.61962763,-63.59599135,"44.61962763,-63.59599137",2000,42.2,182,27.4
Williams,44.61962763,-63.59599135,"44.61962763,-63.59599138",2011,54.2,N/A,31.7
